ScientificName,USDACode,FamilyName,PrimaryGrowthForm,Lifespan,Clade,GrowthForm4Model,TissueType,IntroYear,DominantInvasionPathway,InvasiveRangeSize,HabitatBreadth,LocalAbundance,natrng,ClonalPropagation,RegenerativeCapacity,Range,pHMin,pHMax,HardinessZoneMin,HardinessZoneMax,SelfCompatible,SLA_m2kg1,SeedWeightMean_g,ElevationMin_m,ElevationMax_m,PrecipMin_in,PrecipMax_in,HeightMax_m,LeafWidthMax_cm,LeafLengthMax_cm,monoploid,holoploid,TissueTypeDummy,ResidenceTime
Agrostis capillaris,AGCA5,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1829,Escape,110,25,13,50,1,1,Long,4.9,7.5,3,10,,32.73324962,0.08,0,1900.000001,32,109,0.61,0.4,15,1.780000001,8.200000002,1,197
Agrostis gigantea,AGGI2,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1884,Escape,587,54,111,66,1,1,Long,4.5,8,3.049164894,9.321864831,,25.51353267,0.08,300.0000001,2300,28,60,1.22,1,30,0.75,3.377283041,1,142
Agrostis stolonifera,AGST2,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1819,Release,413,56,305,83,1,1,Long,5.1,7.5,5.492778978,8.836446672,,30.88096743,0.07,0,2500,30,60,0.61,0.1,10,1.4125,5.649999996,1,207
Ailanthus altissima,AIAL,Simaroubaceae,Tree,Perennial,Angiosperm,Tree,Woody,1784,Escape,1182,73,3777,8,1,1,Long,4.1,8.3,4,8,,32.29336103,29.25,20.00000001,2400,16,55,30.00000002,8.91,90,1.04,3.646474856,0,242
Aira caryophyllea,AICA,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1901,Contaminant,116,17,24,52,0,0,Short,5,7.7,7,10,,31.93037297,0.13,0,2070,19,109,0.55,0.25,13.5,3.025000002,12.1,1,125
Ajuga reptans,AJRE,Lamiaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1891,,98,30,8,39,1,1,,5.5,7.5,3,10,,33.30081319,1.37,15,1290,35,65,0.3,2.54,15.24,1.183586311,2.12991615,1,135
Akebia quinata,AKQU,Lardizabalaceae,Vine,Perennial,Angiosperm,Vine,Woody,1892,Escape,59,17,43,5,,1,Long,5.443659312,6.616463391,5,8,0,,20.5,300.0000001,1500,25.42271087,59,20.00000001,4.2,5,0.981290001,11.19291851,0,134
Albizia julibrissin,ALJU,Fabaceae,Shrub/Tree,Perennial,Angiosperm,Tree,Woody,1745,Escape,941,44,2498,18,,1,Long,4.8,7.3,6,10,,14.99037368,37.37,0,2100,4,91,12,1.5,4,0.69462413,4.193242051,0,281
Albizia lebbeck,ALLE,Fabaceae,Tree,Perennial,Angiosperm,Tree,Woody,1886,Escape,40,3,161,10,,1,Long,5.034532666,6.8,9.604317741,10.11177154,,14.99037368,123.68,7.054256706,1079.687288,24,98,30.00000002,3.3,6.5,0.899333051,15.03104879,0,140
Alcea rosea,ALRO3,Malvaceae,Forb,Biennial,Angiosperm,Forb,Herbaceous,1827,Escape,5,5,0,1,,0,Short,6,8,2,10,,14.292,9.5,10,1539.591657,12,47,2.44,20.32,20.32,0.662745448,2.675333713,1,199
Alhagi maurorum,ALMA12,Fabaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1915,Contaminant,101,14,73,19,,1,Short,8.3,8.5,6,10,,23.47437641,5.69,0,1000,2,39,0.91,2,3.62,1.532604668,4.770056706,0,111
Allamanda cathartica,ALCA7,Apocynaceae,Vine/Shrub,Perennial,Angiosperm,Vine,Woody,1930,Escape,6,2,5,10,,0,Long,5.005115681,6.872130122,10,11,,26.53529948,195.9924517,0,699.9999996,39,110,8.000000004,3.5,13,2.125250559,41.20827851,0,96
Alliaria petiolata,ALPE4,Brassicaceae,Forb,Biennial,Angiosperm,Forb,Herbaceous,1868,Escape,1021,55,26005,59,0,1,Long,6,6.8,6,8,1,47.0135,3.02,0,1550,25,54,0.4,6,15,1.35,5.439608262,1,158
Allium canadense,ALCA3,Liliaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,,,,,,40,,,,5.633741638,7,4,8,,20.82182915,8.89,7.928556047,249.3223882,21.29,23.54677209,0.89,2.54,30.48,9.151921951,98.65788147,1,
Allium triquetrum,,Liliaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1936,Contaminant,27,4,17,11,1,1,Short,5.570105967,7.212093999,5.473514336,8.73710391,,23.9,4.129357783,0,100,22.8893961,26.4,0.869208529,2.87,29.5,18.1,230.5309212,1,90
Allium vineale,ALVI,Amaryllidaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1866,Escape,192,40,12,38,1,1,Short,5.547933637,7.213837383,5,10,,18.7,6.8,0,100,22,53,0.91,2.54,25.4,13.39918754,156.7254798,1,160
Alnus glutinosa,ALGL2,Betulaceae,Shrub/Tree,Perennial,Angiosperm,Tree,Woody,1877,Release,132,27,55,45,0,1,Long,4.4,8,4,7,,14.92894684,4.96,0,2000,20,65,40,15.24,15.24,0.51,1.509999999,0,149
Alopecurus geniculatus,,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1859,Contaminant,95,31,20,39,1,1,Long,4,7.5,6.483903032,8.454445394,,28.93296862,0.28,279.6301738,3200,20,45,0.61,0.6,12,3.725,14.9,1,167
Alopecurus myosuroides,ALMY,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1866,Contaminant,7,4,0,40,0,1,Long,4,7.5,8.021463852,8.929248655,,27.26666667,1.99,100,1000,35,55,0.8,0.8,17,4.299999999,23.87190989,1,160
Alopecurus pratensis,ALPR3,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1849,Escape,143,24,56,57,1,1,Long,5.1,8.49,6,10,,38.32858786,0.92,20.00000001,2500,18,60,1.2,1,40,6.800000002,27.76267875,1,177
Alternanthera philoxeroides,,Amaranthaceae,Vine,Perennial,Angiosperm,Vine,Herbaceous,1894,Escape,417,28,285,17,0,1,Long,4.8,8.8,5.129777237,9.542392321,,21.32260616,0.386735083,12.28759719,2500,40,60,1,2,10,1.903878081,4.043241097,1,132
Alysicarpus vaginalis,ALVA2,Fabaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1933,Escape,2,1,0,66,,1,Long,5.5,8.7,3.684435893,10.19119326,,23.47437641,1.73,200,1200,39,79,0.9,2.6,6.5,0.710860467,0.796107383,1,93
Alyssum alyssoides,,Brassicaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1871,Escape,193,15,68,40,0,1,Short,5.350089959,8.337015544,5.288703087,9.691921416,1,31.4261603,0.69,0,1800,10.05929916,65.84,0.3,2.67,7.59,0.432252867,0.768507239,1,155
Alyssum turkestanicum,ALTU2,Brassicaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1941,,,,,8,,,,5.576610694,7.704889318,3.538247388,8.951169455,,28.98914906,1.210867857,799.9999999,2600,12.2077818,47.77,0.28,2.45,6.08,0.298884598,0.620666654,1,85
Amaranthus blitoides,,Amaranthaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1868,Stowaway,24,15,1,16,,0,Long,5.274457174,8.546468405,4.297255836,11.04683415,,18.14041135,1.03,3.262543164,1951.156866,14.34317526,98,1.2,6.07,8.55,0.56,0.860462871,1,158
Amaranthus palmeri,AMPA,Amaranthaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1915,Contaminant,,,,10,,,Long,5.121081215,7.723646077,5.052973008,10.7067269,,21.32788547,0.33,10.16735602,1200,15.75145919,63.65,3.049999999,7.62,7.62,0.48,1.229457877,1,111
Amaranthus retroflexus,AMRE,Amaranthaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1822,Escape,,,,5,0,0,Long,6,8,3,11,,16.32011157,0.5,700,2804,17.12220312,72.42,2,15.24,10,0.85,1.7,1,204
Amaranthus spinosus,AMSP,Amaranthaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1829,Contaminant,,,,40,,,Long,5.438433467,8.436840925,5.314207148,11.0948812,,21.32788547,0.22,0,1200,15.03663314,75.46,1.5,4.5,11,1,1.842444467,1,197
Amaranthus tuberculatus,AMTU,Amaranthaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1830,Contaminant,,,,25,,0,Long,4.8,8,6.141144667,10.49714874,,21.32788547,0.23,0,1000,15,60,3.000000001,3,15,0.72,1.984196351,1,196
Ambrosia artemisiifolia,AMAR2,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1840,Contaminant,,,,59,,0,Long,6,7,9.483493047,10.06661584,0,25.01,3.63,8.338090471,1050,2,34,1.83,7.62,15.24,0.5875,2.349999999,1,186
Ambrosia trifida,AMTR,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,,Contaminant,,,,59,,0,Long,5.477652798,7.969897806,10.07473242,10.87663404,,25.24076923,11.01,0,1686.336575,16,98,3.999999998,20.19,35,1.910000001,3.819999999,1,
Amelichloa brachychaeta,,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1960,,,,,3,,,,5.8,8.1,9,9,,26.46470061,8.839506508,59.99999999,1300,12,29,0.9,0.3,35,1.777008014,9.740712271,1,66
Ampelopsis glandulosa var. brevipedunculata,AMGLB,Vitaceae,Vine,Perennial,Angiosperm,Vine,Woody,1870,,,,,,,,,,,5,9,,24.5009015,37.40037832,0,800,16,50,6.1,11,14,,,0,156
Anchusa arvensis,ANAR16,Boraginaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1933,,17,8,225,30,0,0,,4.964528203,7.795049282,5.288250635,10.11334513,,16.525,5.55,2.102138409,1848.530277,22.36178428,75.38,16.83434036,24.27,21.67,5.610000002,33.63000002,1,93
Anchusa officinalis,ANOF,Boraginaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1879,,25,7,974,30,,1,,4.902738009,8.508980863,4.750696284,10.52093949,,23.102,3.92,70,150,19.00370663,91.53,8.000000004,1.5,20,7.305,14.61000001,1,147
Anthemis arvensis,ANAR6,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1845,,75,18,172,44,0,0,,6.052595581,6.281950184,7,9,1,27.44965826,0.73,640.0000001,1610,22,57,8.000000004,1.6,3.5,1.383456187,47.41293614,1,181
Anthemis cotula,ANCO2,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1909,Escape,145,30,737,54,0,0,Short,6,8,10,12,0,22.4,0.43,0,2600,9.712539355,77.33,0.51,7.62,15.24,4.180000001,20.24472379,1,117
Anthoxanthum odoratum,ANOD,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1790,Escape,161,34,130,56,0,0,Long,5.266497584,7.598760063,5,9,,34.1511531,0.55,0,1600,27,127,0.91,1,6,3.100000002,9.000000002,1,236
Anthriscus caucalis,ANCA14,Apiaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1869,Stowaway,98,14,70,36,0,0,Long,5.1,8.2,7,10,,35.61131421,1.28,0,1940,14,89,1,8.57,20.24,2.000261785,3.955007789,1,157
Anthriscus sylvestris,ANSY,Apiaceae,Forb,Biennial,Angiosperm,Forb,Herbaceous,1893,Escape,115,23,163,66,1,1,Short,5.261758969,8.224028541,6.245337512,10.19124046,,30.49751074,3.72,1.223926008,1955.707633,14.6032469,81.55,1.5,25,22.17,2.249999999,4.500000002,1,133
Antigonon leptopus,ANLE4,Polygonaceae,Vine,Perennial,Angiosperm,Vine,Herbaceous,1909,Escape,33,8,18,11,,1,Long,6,8,8,11,,27.92740083,118.78,0,1000,11.8,137.8,3.049999999,7,14.5,1.529250944,18.84646116,1,117
Apera interrupta,APIN,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1934,,13,4,35,33,0,0,,5.003815526,7.385371223,6.571305531,8.607426457,,35.27777778,0.1,1220,1700,21.94801557,45.25,0.858630274,0.52,7.57,2.789747812,15.86048989,1,92
Apium graveolens,APGR2,Apiaceae,Forb,Biennial,Angiosperm,Forb,Herbaceous,1839,,11,3,49,52,0,0,,6,8,3,6,,18.2,0.34,0,1000,12,181,0.91,7.62,15.24,1.270422047,2.305600047,1,187
Aquilegia vulgaris,,Ranunculaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1838,,20,12,0,25,0,1,,5.434097938,7.917944493,4.5705554,7.988348516,,26.00588236,1.19,0,1500,15.41651101,69.15,0.72,1.49,3.17,0.39,0.78,1,188
Aralia elata,AREL8,Araliaceae,Tree,Perennial,Angiosperm,Tree,Woody,1894,Escape,64,18,179,12,,1,Long,5.456317292,8.8,4,9,,0.0000269,0.75,250,1500,10,100,12.19000001,7.62,15.24,0.63550291,2.567497729,0,132
Araujia sericifera,ARSE8,Apocynaceae,Vine,Perennial,Angiosperm,Vine,Woody,1930,Escape,13,4,3,5,,0,Long,6,8,8,11,,26.53529948,195.9924517,100,400,15.08808103,72.1,12,7.62,15.24,1.327278956,12.89905835,0,96
Arctium lappa,ARLA3,Asteraceae,Forb,Biennial,Angiosperm,Forb,Herbaceous,1873,Escape,94,32,3,80,0,0,Long,6,8,3,10,,17.40174456,10.71,50.91519802,500,15.09114745,49.75,3.049999999,15.24,15.24,1,2.501021952,1,153
Arctotheca calendula,ARCA45,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1988,Escape,13,4,66,4,,,Short,5.252521114,8.111794962,9.455690689,9.796769031,,21.76548373,1.49,1.887446369,100,17.65327044,45.08,0.25,1.96,13.95,1.774913331,3.750919987,1,38
Arctotheca prostrata,,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,2001,,,,,2,,,,5.1,8.6,9,10,,21.76548373,0.7,0,739.9999997,15,61,0.208117872,2.4,14.21,1.988899919,2.902556061,1,25
Ardisia elliptica,AREL4,Primulaceae,Tree,Perennial,Angiosperm,Tree,Woody,1926,Escape,25,3,242,19,,0,Long,5.067711579,6.798967749,9.642111445,9.45243961,,13.70231618,37.16,35.77866424,913.6459722,26.13038487,67.71,8.000000004,7,16,1.219213606,18.80858242,0,100
Arenaria serpyllifolia,ARSE2,Caryophyllaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1816,Escape,47,25,1,77,0,0,Long,5.892347168,7.430106842,4.61236925,8.948062977,,20.99235875,0.07,150,1800,16.01117189,45.37,0.25,0.4,0.7,0.4,1.600000001,1,210
Arrhenatherum elatius,AREL3,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1800,Escape,83,18,20,54,1,1,Long,5,7.3,4,9,0,30.25259919,2.83,29.99999998,1800,32,50,1.22,1,40,3.999999998,16,1,226
Artemisia absinthium,ARAB3,Asteraceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1822,Escape,173,27,491,56,0,0,Long,5.574614453,8.478707081,3,9,,30.36459198,0.1,1500.000001,2100,13,35,1.52,2.54,7.62,4.709999999,9.420000001,1,204
Artemisia annua,,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1838,Escape,9,7,0,64,0,0,Long,5.515207332,8.382931831,4.734893348,8.913273193,,29.31166667,0.04,108.6883296,1000,12.21164371,21.31,1,2.04,7.33,1.9,3.799999998,1,188
Artemisia biennis,ARBI2,Asteraceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1968,Contaminant,,,,16,,0,Long,5.090781595,8.911212146,6.201428144,9.468179861,1,13.34,1.508529038,0,2199.999999,10,43,3.000000001,4.07,13.2,5.247222396,14.04439502,1,58
Artemisia stelleriana,ARST6,Asteraceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1879,,6,5,0,34,,1,,6,8,3,9,,25.57373417,1.508529038,0,200,14.25143469,24.19,2.01121671,7.62,15.24,3.05,10.69251621,1,147
Artemisia vulgaris,ARVU,Asteraceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1904,Contaminant,335,30,452,74,1,1,Long,4.8,8.4,3,8,,24.12235294,0.16,1500.000001,3800.000001,14,29,2,8,13,3.25,9.320000005,1,122
Arthraxon hispidus,ARHI3,Poaceae,Graminoid,Annual,Angiosperm,Graminoid,Herbaceous,1923,Contaminant,129,18,41,65,,,Long,5.121615143,7.5,5.89594762,10.09638264,,26.46470061,0.35,19.13955565,1735.11972,20.43506678,75.27,1.33340927,2.5,8,1.277788102,12.68671904,1,103
Arum italicum,ARIT,Araceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1960,,58,19,18,28,1,1,,6,8,5,9,,33.26,39,0,500,20.97123602,64.14,0.61,20.32,30.48,12.62999999,50.0819063,1,66
Arundo donax,ARDO4,Poaceae,Graminoid,Perennial,Angiosperm,Graminoid,Herbaceous,1852,Escape,533,47,36468,35,1,1,Long,4.9,9.1,5,10,,26.46470061,0.11,0,2360.000001,35,65,9.999999996,9,100,2.8,13.85094635,1,174
Asclepias curassavica,ASCU,Apocynaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1928,Escape,53,16,0,41,,,Long,6,8,8,11,,35.04925835,7.012869033,0,2000,12,37,0.91,7.62,15.24,1.879393099,6.950823163,1,98
Asparagus aethiopicus,,Liliaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1902,Escape,55,6,107,2,,1,Long,5,8.5,9,10,,10.26869458,38.34,0,490,12,41,4.428804465,1.76,7.25,3.21740138,27.06348003,1,124
Asparagus asparagoides,ASAS4,Liliaceae,Forb/Vine,Perennial,Angiosperm,Vine,Herbaceous,1928,Escape,24,5,71,13,,,Long,5.1,8.6,9,11,,10.26869458,5.4,0,1090,12,53,6.000000002,3,7,4.176196737,37.66965331,1,98
Asparagus officinalis,,Asparagaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1822,,196,55,14,31,1,1,,6,8,2,9,,10.92717391,24.12,175.5608683,200,13.93326038,17.71,1.52,1.48,3.77,1.46,4.659999999,1,204
Asperugo procumbens,,Boraginaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1877,,7,5,1,66,,1,,5.385662991,7.5,3.843830525,8.502134423,1,69.792,1.62,999.9999997,1500,20.31588265,44.58,0.8,2.6,7.3,0.33,0.860195484,1,149
Asphodelus fistulosus,ASFI2,Liliaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1936,Contaminant,24,5,26,31,1,1,Long,5.2,8.2,9,10,,10.49166731,2.67,0,1260.000001,11,29,0.7,2.21,37.73,2.5,12.93552124,1,90
Astragalus cicer,,Fabaceae,Forb,Perennial,Angiosperm,Forb,Herbaceous,1957,Escape,21,11,2,26,,1,Long,6,8.5,5.650558767,9.092001386,,26.25,3.45,12.70206253,2000,16,60,0.91,1.08,3.54,1.0425,8.339999994,1,69
Atriplex micrantha,,Chenopodiaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1937,Stowaway,8,5,5,18,0,0,Long,6.472025801,8.789876738,4.220791622,10.00915755,,18.095,1.25,0,2000,8.143613292,53.2,0.884231922,2.17,5.39,0.975945393,2.875735188,1,89
Atriplex patula,,Chenopodiaceae,Forb,Annual,Angiosperm,Forb,Herbaceous,1852,Stowaway,21,13,1,108,0,0,Long,6.738077246,8.516892903,4.557795319,9.883608597,,17.375,1.39,1.13317927,1400,9.706444414,42.79,1.1,1.78,5.23,1.075,4.299999997,1,174
Atriplex semibaccata,ATSE,Chenopodiaceae,Shrub,Perennial,Angiosperm,Shrub,Woody,1900,Escape,45,6,1480,5,,1,Short,7,8.5,4.188754524,9.734182833,,17.09375591,4.12,2.801851652,1000,10,35,0.8,1.2,4,0.85,2.908966884,0,126
